id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune
85288_p1h9zg_02965;;2965;;Route de la martinière;85440;85288;Talmont-Saint-Hilaire;;;347087.84;6612522.92;-1.606121;46.520051;entrée;;;TALMONT ST HILAIRE;ROUTE DE LA MARTINIERE;commune;commune;1;;9e63d301-1c76-4d33-a508-9ea9e39293d2;490ba4d6-04d8-4506-b3c8-655b6982d53d;d97af119-7193-4704-a9d4-fefd336200f5
85103_0099_02965;85103_0099;2965;;Route de la martinière;85440;85103;Grosbreuil;;;347087.84;6612522.92;-1.606121;46.520051;entrée;;;GROSBREUIL;ROUTE DE LA MARTINIERE;commune;commune;1;;9e63d301-1c76-4d33-a508-9ea9e39293d2;490ba4d6-04d8-4506-b3c8-655b6982d53d;977eb09f-e1de-4b8e-891e-0408baedb00e
