WKT,batiment_groupe_id,cle_interop_adr,code_departement_insee,classe,lien_valide
"LINESTRING (908701.195178197 6564731.5995283,908692.065962365 6564736.04778279)",uf012040231485_e535573d3dfc10a,01300_0013_00145,"01","1.1","1"
"LINESTRING (908701.195178197 6564731.5995283,908693.968543184 6564741.2869147)",uf012040231485_e535573d3dfc10a,3000000C051200101,"01","9.2","0"
"LINESTRING (908701.195178197 6564731.5995283,908693.968543184 6564741.2869147)",uf012040231485_e535573d3dfc10a,3000000C051200201,"01","9.2","0"
