WKT,batiment_construction_id,batiment_groupe_id,code_departement_insee,code_iris,code_commune_insee,s_geom_cstr,hauteur,altitude_sol,fictive_geom_cstr
"MULTIPOLYGON (((908711.2 6564735.4,908712.0 6564730.4,908705.8 6564728.7,908705.0 6564733.9,908711.2 6564735.4)))",BATIMENT0000000008834985-1,uf012040231485_e535573d3dfc10a,"01","012040000","01204","33",3.6,849.8,"0"
"MULTIPOLYGON (((908696.9 6564732.7,908695.9 6564727.7,908689.9 6564729.7,908690.6 6564734.2,908696.9 6564732.7)))",BATIMENT0000000008834991-1,uf012040231485_e535573d3dfc10a,"01","012040000","01204","31",2.3,849.8,"0"
"MULTIPOLYGON (((884385.8 6564086.1,884391.6 6564086.7,884392.3 6564081.3,884386.3 6564080.5,884385.8 6564086.1)))",BATIMENT0000000008838153-1,012450480B0366_74ab2e8c98c7f88,"01","012450000","01245","33",2,292,"1"
