cle_interop_adr,numero,rep,type_voie,nom_voie,code_postal,code_commune_insee,commune,geom
38517_0345_00007,7,,place,jean jaures,38210,38517,Tullins,POINT(5.482677999999999 45.29622999999999)
38117_0153_02822,2822,,route,nationale1532,38470,38117,Cognin-les-Gorges,POINT(5.415878999999999 45.17673299999997)
38117_0153_02824,2824,,route,nationale1532,38470,38117,Cognin-les-Gorges,POINT(5.415396999999999 45.177495999999984)
38117_0153_02824,2824,,route,nationale1532,38470,38117,Cognin-les-Gorges,POINT(5.415396999999999 45.177495999999984)
