Identifiant arrêté,rnb_ids,match_reason
2022-15--ligne66,,
2022-16--ligne67,,
2022-17--ligne68,"5317ERGHMDTT,9KDY4CGGRD51",precise_address_match
2022-18--ligne69,,
2022-19--ligne70,"2SP1KQQKBE2F,MSEGVNHS7D3W",precise_address_match
2022-20--ligne71,SJ3QYBXDMS25,precise_address_match
2022-21--ligne72,HB1SQ1DVJKZ2,precise_address_match
2022-22--ligne73,Q6J3RG9F2DM1,precise_address_match
2022-23--ligne74,"65PRGM9NQTJR,XJHY1B48X6A9",precise_address_match
2022-24--ligne75,"KJ8M9K14YW3P,V532Z6VTQX98",precise_address_match
2022-25--ligne76,"2GG237REV7SG,5GSP27JGJ77X",precise_address_match
2022-26--ligne77,,
2022-27--ligne78,WJYHJ9TCNS18,precise_address_match
2022-29--ligne79,,
2022-30--ligne80,AJ4M1DS67SA6,precise_address_match
2022-31--ligne81,7XMG1R6Z923G,precise_address_match
2022-32--ligne82,G3NH1S9BA82A,precise_address_match
2022-34--ligne83,,
2022-35--ligne84,HYPB7AFQDRQK,precise_address_match
2022-36--ligne85,,
2022-38--ligne86,AJV8MTASFVKY,precise_address_match
2022-39--ligne87,"126FMY377SZ9,28ADJBVRCD9P,2SSGRBNDA3C2,5JX1W1DFDBE5,81CMVHADEN28,8WMHMKCM3897,9K1Y8S34T53S,9YXDMBDS2XE5,9ZM273Z6E36A,CGR92RY42ACY,CJJ1FA4X448T,D4Y8T2FNXC6H,DECH3E9E6QXJ,E2FDK7YMD65T,E7WZP45A25GT,G5FMFV65GBWG,H267MTHYJ8YX,JFS6AWV1D1E4,QQ21TSY8TC9V,VP49QC57457G,WCVSAQEDTRAF,XPH2VTG7VBGE,YWCFXNYB7824",precise_address_match
2022-41--ligne88,75XD3RC7HG1K,precise_address_match
2022-43--ligne89,DQSD2PBZ4NN4,precise_address_match
2022-44--ligne90,,
2022-46--ligne91,"MN41XZX7MKH7,WY29GQPKCFFN,XDEKGRQHYRQF",precise_address_match
2022-47--ligne92,"G1H6ZZSZ3HZG,V5XXM81YM6NG",precise_address_match
2022-49--ligne93,HB1SQ1DVJKZ2,precise_address_match
2022-54--ligne94,,
2022-55--ligne95,156GYDERQM77,precise_address_match
2022-56--ligne96,"65PRGM9NQTJR,XJHY1B48X6A9",precise_address_match
2022-57--ligne97,"8JXYZ2HS9FK7,KPBPS2XPFZH8",precise_address_match
2022-58--ligne98,,
2022-59--ligne99,"H6FDX4MF3SRH,QWPV6E8SJZMW",precise_address_match
2022-60--ligne100,6YVCG1ZCDNN4,precise_address_match
2022-61--ligne101,75XD3RC7HG1K,precise_address_match
2022-62--ligne102,,
2022-63--ligne103,"HTJGVVVHBGC9,TECQ6YZ6J1VX,XNRA46YNT7RZ",precise_address_match
2022-64--ligne104,"35V3ZM75PYMZ,9C8ZS6PEJZRF,MBC6MVVF75J8",precise_address_match
2022-65--ligne105,QBYYV3ZPXCZS,precise_address_match
2022-66--ligne106,"H8BM73235NV3,MKCZ7V7PZNB8",precise_address_match
2022-67--ligne107,2NJPKCPVBY32,precise_address_match
2022-67--ligne108,2NJPKCPVBY32,precise_address_match
2022-68--ligne109,,
2022-69--ligne110,"DGSYNWEXS5AZ,QE86Y194MZHX",precise_address_match
2022-70--ligne111,"DGSYNWEXS5AZ,QE86Y194MZHX",precise_address_match
2022-71--ligne112,N622G3Z43ZQJ,precise_address_match
2022-72--ligne113,"1FZGXCS2RS33,WT6BN1WM659S",precise_address_match
2022-74--ligne114,"2GG237REV7SG,5GSP27JGJ77X",precise_address_match
2022-76--ligne115,4K6NWHAV83VV,precise_address_match
2022-78--ligne116,"DGSYNWEXS5AZ,QE86Y194MZHX",precise_address_match
2022-79--ligne117,2B3CVB7EJKEF,precise_address_match
2022-80--ligne118,"8PS6KQ6FAQVY,A27CFSXMEYZX,N1F76C9YFW7S",precise_address_match
2022-81--ligne119,EFHEMVHAFW3M,precise_address_match
2022-82--ligne120,"QHBXCBBP32GQ,ZEC4KC5N57J3",precise_address_match
2022-83--ligne121,"1J42YKQ58354,3F8DKEYC6ZVM,9535QQCH8PW6,9CSKK9PHK2JM,D4MHXCNN9TQD,NKE5VV256G31",precise_address_match
2022-84--ligne122,"CWBYB54T95HZ,NK5TY8W9H2C7",precise_address_match
2022-86--ligne123,AQXZ949GDTCD,precise_address_match
2022-87--ligne124,N622G3Z43ZQJ,precise_address_match
2022-88--ligne125,J2FAT953CHY5,precise_address_match
2022-89--ligne126,,
2022-90--ligne127,,
2022-91--ligne128,,
2022-92--ligne129,,
2022-93--ligne130,,
2022-94--ligne131,,
2022-95--ligne132,AJV8MTASFVKY,precise_address_match
2022-96--ligne133,,
2022-98--ligne134,,
2022-100--ligne135,V7GB9FEKPEEN,precise_address_match
2022-102--ligne136,"1J42YKQ58354,3F8DKEYC6ZVM,9535QQCH8PW6,9CSKK9PHK2JM,D4MHXCNN9TQD,NKE5VV256G31",precise_address_match
2022-103--ligne137,"CWBYB54T95HZ,NK5TY8W9H2C7",precise_address_match
2022-104--ligne138,"JA6XAACNN3WD,T2CX7FT7PVJ7",precise_address_match
2022-105--ligne139,"3QV9AJF1GDDY,RPVGEFB556E6",precise_address_match
2022-106--ligne140,Y954XXH3TNEB,precise_address_match
2022-110--ligne141,"3YYDA3162DT7,GWBRYT32ECH2,Q51CPB8GTNBT",precise_address_match
2022-111--ligne142,"98GA4RP33XA4,9FC98E929SGA,WX9S1QSDZMDQ",precise_address_match
2022-112--ligne143,"DGSYNWEXS5AZ,QE86Y194MZHX",precise_address_match
2022-113--ligne144,XAYD1T3FC9WW,precise_address_match
2022-114--ligne145,DVFRS7VKKRRH,precise_address_match
2022-115--ligne146,TCNQKREBHR79,precise_address_match
2022-117--ligne147,AK2ZD88N1NQ9,precise_address_match
2022-123--ligne148,"M85S53XD69PC,N1GGTRFSHNHZ",precise_address_match
2022-125--ligne149,T94AYKCYE38M,precise_address_match
2022-126--ligne150,Q2WR34ME1Y4T,precise_address_match
2022-127--ligne151,5E4R5MJZG8X5,precise_address_match
2022-128--ligne152,,
2022-129--ligne153,XAYD1T3FC9WW,precise_address_match
2022-130--ligne154,,
2022-132--ligne155,,
2022-133--ligne156,,
2022-134--ligne157,,
2022-135--ligne158,YMGFMR29VXS3,precise_address_match
2022-140--ligne159,"4G3R5T3VEJNC,9WCSSF2APREZ,ACYVX3D38QMG,FS6J9N9HR56R,H6Y2P35JJRXQ,KR265QRH42GB,KSRG3WA8XD6R,V8ZBXYCJQ31Y",precise_address_match
2022-141--ligne160,JJBVVW32SZ5Z,precise_address_match
2022-142--ligne161,,
2022-143--ligne162,MQ64QCVGK71V,precise_address_match
2022-148--ligne163,"3YYDA3162DT7,GWBRYT32ECH2,Q51CPB8GTNBT",precise_address_match
2022-150--ligne164,S9B2X972BPTW,precise_address_match
2023-01--ligne165,"1AD4T1APQKYN,CNC1R46YPXN8,PQEM6EQW5S5R,V4EYQ4WCB8BP",precise_address_match
2023-03--ligne166,PYHQ4WRTYGWR,precise_address_match
2023-05--ligne167,W8EX99GEZFJM,precise_address_match
2023-06--ligne168,B5BVR2TFKYJW,precise_address_match
2023-07--ligne169,ATPCS47FHFYJ,precise_address_match
2023-09--ligne170,"6B9VQQSNPTSD,SASM11TJMN2T",precise_address_match
2023-11--ligne171,W8EX99GEZFJM,precise_address_match
2023-12--ligne172,P3XWNN2CEZWM,precise_address_match
2023-124--ligne173,"7T521M1V1E86,ECZ7J7C6V87H,PPZ1G3RBZBKY,SKYGSQHGV6WV,YFZEZ3ACYJ7X",precise_address_match
2023-127--ligne174,QD4EPJZ977FB,precise_address_match
2023-140--ligne175,YTBHDH8QS7K1,precise_address_match
2023-15--ligne176,QANCGGJRCJBK,precise_address_match
2023-17--ligne177,"PQM6KZWXCACW,QPE18YZ2YKWB,SEDREXARGSKR,VRB9M4PZA2Q6",precise_address_match
2023-18--ligne178,"1RV81BA79T9G,27ETX4AEB12K,3QX77PQMKJM6,7NB13RE19JAP,GP333KA5KCTM,JY82T7G7HNK7,KCNVNQX7XT85,QDY9RC4J8219",precise_address_match
2023-19--ligne179,8835STW2T6X7,precise_address_match
2023-20--ligne180,SSJW6GQ5GHD2,precise_address_match
2023-21--ligne181,QWPV5DJY4J8C,precise_address_match
2023-22--ligne182,"65PRGM9NQTJR,XJHY1B48X6A9",precise_address_match
2023-24--ligne183,"49QT7Z6FDGW6,7CY7E5T65N7M,GBF486JWVSJQ,HVV91DPAXC8V,RZ5C9JAZTDX6,V3STBX9YMTB5",precise_address_match
2023-25--ligne184,,
2023-26--ligne185,"1XDPJ8NAK7K6,1ZF7DP9NSCK6,2Z28ZCT4PQQS,4MKX7GKDMATR,5VJQ1X112WVF,78H11ABK5F56,7CMAQ95E7VPS,7VM5F4FKQ2Z1,9K94EVJRYKSD,A2D1H7XY8X9D,EB8VWXQ62X6T,F25F21HHDSAP,HPDAZ3ZKZSDX,HQGW1KSWC6PK,HR4SSQMB7SGY,JF55M7BHB6JS,KJ1D7F3RM152,KM5SE1YSC6QN,KRQYPRX8K6HP,MKA4M6K68F6Y,Q7FZ76K1CAHC,QWBX64PH2Z2X,RWRK94B2JTRV,SCYMTRWBF4BR,T8WNP5JWPKSZ,W9SX22ZSVZQE,XQS5N8E2CXKY,Z1HNEP81BVBT,ZAGBQRNMKJ7S",precise_address_match
2023-27--ligne186,1PEABG4EK95E,precise_address_match
2023-28--ligne187,"H8BM73235NV3,MKCZ7V7PZNB8",precise_address_match
2023-29--ligne188,"6PMVJ1JG9SMQ,TN729SG5SEGE",precise_address_match
2023-40--ligne189,F3YWTB18TN3E,precise_address_match
2023-45--ligne190,,
2023-56--ligne191,3BT2JKPYKMJ1,precise_address_match
2023-30--ligne192,222GKCAJ9GKT,precise_address_match
2023-32--ligne193,"37ASJA763D9N,EJYM6B2ZRAMB,KKK61VFAE7WC",precise_address_match
2023-33--ligne194,,
2023-34--ligne195,CK1N2GRK9K9W,precise_address_match
2023-35--ligne196,"4QNM7DR9WHEK,BDVPZAXRDV9F",precise_address_match
2023-36--ligne197,"F8WE65KYBFD6,VEH99ZJVMMRE",precise_address_match
2023-38--ligne198,6ZEPBECSWCYQ,precise_address_match
2023-40--ligne199,QD4EPJZ977FB,precise_address_match
2023-41--ligne200,"JA6XAACNN3WD,T2CX7FT7PVJ7",precise_address_match
2023-42--ligne201,,
2023-44--ligne202,MNENKF8XBA54,precise_address_match
2023-47--ligne203,,
2023-48--ligne204,,
2023-49--ligne205,19PH91AG6M7K,precise_address_match
2023-51--ligne206,"C3ZSQF4F2VE1,HAFCEECFXWEQ,JHV9VKMFBT81",precise_address_match
2023-54--ligne207,"DGSYNWEXS5AZ,QE86Y194MZHX",precise_address_match
2023-55--ligne208,,
2023-57--ligne209,"V9MFCDQKGDMT,WJGH8N6534FT",precise_address_match
