ext_id,rnb_ids,match_reason
131,['7XC9N2NF8YT7'],point_on_bdg
132,['448G2VCCJE3C'],point_on_bdg
133,['BC9GHA8T12V2'],point_on_bdg
147,['ZNN8CR929WKZ'],point_on_bdg
134,['6NHWKNS4YZWS'],point_on_bdg
136,['ME3QM1ZXW69D'],point_on_bdg
137,['4T8ZPHK5QQ6X'],point_on_bdg
138,['WES9W2V2TF28'],point_on_bdg
139,['7JNK3K8RW9FY'],point_on_bdg
140,[],
141,"['A473CP27DVRR', '37QEFR7GR2BW', 'N11MVAGRB9JM', 'Q5MVB8R7HYQK', 'V3C4DRSS3DFW', 'Z69WZ4KEPM4D', 'K6WDAPE3CKDT', 'R3BEES1DRZCD']",precise_address_match
142,['DSK96WYQPP13'],point_on_bdg
143,['P3D5SHDBWGVV'],point_on_bdg
144,['SWTAQYACGGMG'],point_on_bdg
145,['7JN6NNZBE7B6'],point_on_bdg
146,['YTKHFK92KYGN'],point_on_bdg
150,[],
151,['EBX1BWV5WMMP'],point_on_bdg
152,['4PNPSR2BDZWP'],point_on_bdg
153,['1EAVV9CCGWF7'],point_on_bdg
154,['Z7EM42YF42ES'],point_on_bdg
156,['S975H2TWE6AW'],point_on_bdg
158,['PM4JDAAY2GDA'],point_on_bdg
159,['MZW476NR9RQ4'],point_on_bdg
160,['T9AVSN5X2PDR'],point_on_bdg
161,['6A94T6CWQMMZ'],point_on_bdg
229,['QRXRRPXM7QKS'],point_on_bdg
163,['HDNYRHYSARNF'],point_on_bdg
164,['HSFASQ4N2AYN'],point_on_bdg
165,['67SWQC1KV5PC'],point_on_bdg
166,['HNRDX3CR9VRF'],point_on_bdg
167,['CC15TX7K6BGE'],point_on_bdg
168,['AW2W9S7MXV7F'],point_on_bdg
169,['1SBC1BJTA9WV'],point_on_bdg
170,['HD14HF3JPT2B'],point_on_bdg
171,['GGYEEPXD1Y9B'],point_on_bdg
172,['3PZ1CFXQC23M'],point_on_bdg
173,['MNVACJW4ZY2Z'],point_on_bdg
174,['3E2TMA5Z8VKA'],point_on_bdg
177,[],
178,['JHX3HNDT2CW7'],point_on_bdg
179,['NQW2NVKRPZ4H'],point_on_bdg
180,['PZJGEX6SREF9'],point_on_bdg
181,['VBBJSBZ3Y5EF'],point_on_bdg
182,['16J67FXB7SXF'],point_on_bdg
183,['9KXVF58CVJ13'],point_on_bdg
184,['CDN4QJPXPKSK'],point_on_bdg
186,['GH1E221PYFNA'],point_on_bdg
187,['Q4GC2CN817BG'],point_on_bdg
189,['9SJWCVP9P15E'],point_on_bdg
190,['V5D7NGV3HAV1'],point_on_bdg
192,['EBA2GGZA3NQ6'],point_on_bdg
193,['CBDJ17ZRC5A5'],point_on_bdg
194,['VDNJKDV85MQE'],point_on_bdg
195,['D4QQJ67F2KHW'],point_on_bdg
196,['15FTZG29H8RN'],point_on_bdg
200,['9CMPP94M9SCY'],point_on_bdg
203,['TERXR1WRXZA1'],point_on_bdg
204,['YZ7XDZF8X48A'],point_on_bdg
205,['7JY2A4YF2KGB'],point_on_bdg
206,['N1WPDMB566FJ'],point_on_bdg
207,['7T2BSFKGRX7J'],precise_address_match
208,['268B2PW9Y82B'],point_on_bdg
211,['1V9JVJ727R5M'],point_on_bdg
212,['JSQCD89CDK6G'],point_on_bdg
213,['CA2DXZCXRPQN'],point_on_bdg
214,['F6G2G22YAJPM'],point_on_bdg
216,['RYBGM9MH48HK'],point_on_bdg
217,['YFJYP9CRFEVB'],point_on_bdg
218,['2J3ZHN53ZK1G'],point_on_bdg
219,['P88FPH5GKM11'],point_on_bdg
220,['V9MFABKMQSBZ'],point_on_bdg
221,['47VRW5A9989J'],isolated_closest_bdg
222,['RG2KRXZ7DWV9'],point_on_bdg
223,['GPEM4WXZWR7N'],point_on_bdg
224,['FDMXGHVJ587E'],point_on_bdg
225,['GG9287BKN3P5'],point_on_bdg
226,['DJZYWZB21SE3'],point_on_bdg
228,['2PBWAWTE8BKE'],point_on_bdg
230,['AHXPSWT4MPTA'],point_on_bdg
231,['E7PBH1342K1Y'],point_on_bdg
232,['JMHAJ76K848W'],point_on_bdg
233,['RCTSNM7MTT3P'],precise_address_match
235,['VH5542ZQX91Z'],point_on_bdg
236,['A33DCD5ZY433'],point_on_bdg
237,['XJWYTS8AEG81'],point_on_bdg
238,['ZN76G15NB4KT'],point_on_bdg
239,['514HD11JVR35'],point_on_bdg
241,['77HYFSMDE692'],point_on_bdg
242,['84D6QZNRH8XJ'],point_on_bdg
268,['NQ5PZMZZQXA3'],point_on_bdg
243,['H5NFBZNJQM4S'],point_on_bdg
244,['HG27MC98C33H'],point_on_bdg
245,['BFDASBNE4XN9'],point_on_bdg
246,['BZER1XCT2T4Y'],point_on_bdg
247,['5WSQYN6RM5XC'],point_on_bdg
248,['PW3QKK6QRNEE'],point_on_bdg
249,['GSD4W66GGFV7'],point_on_bdg
250,['BZ3D55WV8MGT'],point_on_bdg
253,['Z2JM1KPEFEN2'],point_on_bdg
254,['8D22Z1C99ANK'],point_on_bdg
255,['2CFQ2Q2K3ZQP'],point_on_bdg
256,['B6EJ6TJRTPSW'],point_on_bdg
257,['WZHTW84XDZ5J'],point_on_bdg
258,['VZPZT4GPB4H3'],point_on_bdg
259,['465ZAAZ5WEHC'],point_on_bdg
260,['FZAAY9E5QTPG'],point_on_bdg
261,['DB2KBCS8E44E'],point_on_bdg
262,['Q39BNSW66P4B'],point_on_bdg
263,['MH5NG8R2MT9C'],point_on_bdg
265,['BY4DF6FNH6QQ'],point_on_bdg
266,['K3NTVW4SX65P'],point_on_bdg
267,['4ADQKTQG16Y9'],point_on_bdg
269,['FAEQQZMJ69BG'],point_on_bdg
270,['D88RCZE3WFRT'],point_on_bdg
271,['DYHERSRGM3W9'],point_on_bdg
272,['RVW1JBZBZYTC'],point_on_bdg
273,['YPZCSXDT1TSF'],point_on_bdg
274,['FQY69XSCZARG'],point_on_bdg
275,['VEWS7J287WCC'],point_on_bdg
276,['V8Y6YKX86H1D'],point_on_bdg
278,['555RQGZHEEKH'],point_on_bdg
279,['SH1EF2GSBX5F'],point_on_bdg
281,['NGBPNY28Y8ZJ'],point_on_bdg
282,['5976YXEHV2CV'],point_on_bdg
283,['3MRXTQ3WRVP2'],point_on_bdg
284,['M6Y3JCSFFRA8'],point_on_bdg
285,['TA4EE1PPCN9M'],point_on_bdg
286,['1CZN2B3H5JGK'],point_on_bdg
287,['6R5VTP1D27VY'],point_on_bdg
288,['34CDN7H6BCW2'],point_on_bdg
289,['H2ZRDMKSY9HJ'],point_on_bdg
290,['XJWVEEZVRKXM'],point_on_bdg
199,['4D7PD3AS49JV'],point_on_bdg
299,['9HBFGDXTQEK9'],point_on_bdg
300,['J41NQDYK6NG5'],point_on_bdg
301,['53F6JH2PBBEB'],point_on_bdg
302,['E1KGHXKZM2W7'],point_on_bdg
303,['ZCVP45ZQ7F97'],precise_address_match
