ID_BATI;LIBELLE_BATI;NUMERO_ADRESSE;ADRESSE;COMPLEMENT_ADRESSE;CODE_POSTAL;COMMUNE;CODE_INSEE;COORD_X_L93;COORD_Y_L93
219;PAU - ESPE (Sarrailh); ;Rue Pierre Bonnard; ;64000;PAU;64445;426358.35;6251431.43
220;PAU - HDD (Biray);64;avenue Jean Biray; ;64000;PAU;64445;426133.11;6249629.25
221;PAU - Maison des Communes (Renoir); ;rue Auguste Renoir; ;64001;PAU;64445;427359.12;6251442.16
222;PAU - MDPH (Bonnard); ;Rue Pierre Bonnard; ;64000;PAU;64445;427128.53;6251513.22
223;PAU - Palais de justice (Libération); ;Place de la Libération; ;64000;PAU;64445;426307.4;6250198.28
224;PAU - Parlement de Navarre (Déportation); ;Place de la Déportation; ;64000;PAU;64445;426105.22;6249752.08
225;PAU - Permanence SDSEI (Campo);23;rue Monseigneur Campo; ;64000;PAU;64445;428642.98;6252517.61
226;PAU - Permanence SDSEI (Lilas);26bis;avenue des Lilas; ;64000;PAU;64445;428148.48;6250929.11
228;PAU - Restaurant administratif (Bonnard); ;Rue Pierre Bonnard; ;64000;PAU;64445;427223.04;6251460.55
230;PAU - SDSEI (Bonnard); ;Rue Pierre Bonnard; ;64000;PAU;64445;427227.55;6251494.67
231;PAU - Technopole Hélioparc (Benghozi);2;avenue du Président Pierre Angot; ;64000;PAU;64445;426813.1;6252660.56
232;PAU - Tribunal administratif (Bonnard); ;Rue Pierre Bonnard; ;64000;PAU;64445;427140.71;6251471.88
233;PAU - Tribunal d'instance (Mourot);6;rue Mourot; ;64000;PAU;64445;426331.88;6250240.67
235;PAU - Villa préfectorale (Allées de Morlaàs);27;avenue Norman Prince; ;64000;PAU;64445;428512.04;6250826.82
236;POEY-DE-LESCAR - Permanence SDSEI (Lou Sende);50;rue Principale; ;64230;POEY-DE-LESCAR;64448;418666.2;6256598.47
237;PONTACQ - Collège Jean Bouzet (Entercq);2;rue de l'Entercq; ;64530;PONTACQ;64453;446949.96;6236872.25
238;PONTACQ - Permanence SDSEI (Mairie); ;Place Huningue; ;64530;PONTACQ;64453;446736.68;6236824.09
239;PONTACQ - Permanence SDSEI (Stade);12;rue du Stade; ;64530;PONTACQ;64453;446799.83;6236808.54
241;PUYOO - Permanence SDSEI (Mairie);1;place de la Mairie; ;64270;PUYOÔ;64461;383504.64;6277632.02
242;SAINT-ETIENNE-DE-BAIGORRY - Antenne UTD (RD 15); ;Route de St Jean Pied de Port; ;64430;SAINT-ÉTIENNE-DE-BAÏGORRY;64477;347448.61;6241140.22
268;SARE - Permanence SDSEI (Mairie);3145;Santinazioko errebidea;Maison Larrun;64310;SARE;64504;328388.9;6256729.1
243;SAINT-ETIENNE-DE-BAIGORRY - Collège Pujo (RD 15); ;Route de St Jean Pied de Port; ;64430;SAINT-ÉTIENNE-DE-BAÏGORRY;64477;347524.95;6241129.49
244;SAINT-ETIENNE-DE-BAIGORRY - Permanence SDSEI (Mairie);6;behereko karrika;Mairie.Le Bourg;64430;SAINT-ÉTIENNE-DE-BAÏGORRY;64477;347036.48;6240767.84
245;SAINT-JEAN-DE-LUZ - Antenne SDSEI (Chauvin Dragon);15;rue Chauvin Dragon; ;64500;SAINT-JEAN-DE-LUZ;64483;322588.85;6265462.41
246;SAINT-JEAN-DE-LUZ - Collège Chantaco (Caillaux);2;rue Rodolphe Caillaux; ;64500;SAINT-JEAN-DE-LUZ;64483;324074.32;6264084.18
247;SAINT-JEAN-DE-LUZ - Collège Ravel (Marañon);4;avenue Gregorio Marañon; ;64500;SAINT-JEAN-DE-LUZ;64483;322472.09;6265115.51
248;SAINT-JEAN-DE-LUZ - Permanence SDSEI (Ichaca); ;Avenue de l'Ichaca; ;64500;SAINT-JEAN-DE-LUZ;64483;323260.13;6265232.66
249;SAINT-JEAN-DE-LUZ - Permanence SDSEI (Urdazuri);10;place de Biscaye; ;64500;SAINT-JEAN-DE-LUZ;64483;322632.28;6264921.55
250;SAINT-JEAN-LE-VIEUX - Antennes SDSEI et UTD (Gaztainadoya); ;Quartier Gaztainadoya; ;64220;SAINT-JEAN-LE-VIEUX;64484;356470.34;6239041.8
253;SAINT-PALAIS - Antenne UTD (Capilla); ;Chemin de Capilla; ;64120;SAINT-PALAIS;64493;372535.82;6255330.71
