ID_BATI;LIBELLE_BATI;NUMERO_ADRESSE;ADRESSE;COMPLEMENT_ADRESSE;CODE_POSTAL;COMMUNE;CODE_INSEE;COORD_X_L93;COORD_Y_L93
47;BEHASQUE-LAPISTE - Dépôt (Saint-Sauveur); ;St Sauveur;RD2933;64490;BÉHASQUE-LAPISTE;64106;374106.75;6254401.66
48;BIARRITZ - Antenne SDSEI (Jaurès);1;rue Jean Jaurès; ;64200;BIARRITZ;64122;331328.7;6274921.79
49;BIARRITZ - Collège Fal (Kennedy);132;avenue du Président J. F. Kennedy; ;64200;BIARRITZ;64122;331605.69;6273089.64
50;BIARRITZ - Collège Rostand (Lycée);15;rue du Lycée; ;64200;BIARRITZ;64122;332310.82;6275775.6
51;BIDACHE - Antenne UTD (Usanits);505;Route de Bardos;Chemin d'Usanits;64520;BIDACHE;64123;364212.82;6273633.16
52;BIDACHE - Collège (Jardins); ;Rue des Jardins; ;64520;BIDACHE;64123;364968.64;6273810.92
53;BIDACHE - Permanence SDSEI (Mairie); ;Rue des Jardins; ;64520;BIDACHE;64123;365069.38;6273767.07
56;BIDART - ENS Plage de l'Ouhabia (Gare); ;Rue de la Gare; ;64210;BIDART;64125;328300.79;6269850.31
57;BILLERE - Antenne SDSEI (Montesquieu); ;Allée Montesquieu; ;64140;BILLÈRE;64129;424243.43;6250650.83
59;BILLERE - Collège du Bois d'amour (Gai Savoir); ;Rue du gai savoir; ;64140;BILLÈRE;64129;424537.71;6251300.13
60;BILLERE - Dépôt EPI (Gensemin);33bis;rue Gensemin; ;64140;BILLÈRE;64129;425192.91;6251331.92
61;BILLERE - Parc routier (Mermoz);129;avenue Jean Mermoz; ;64140;BILLÈRE;64129;425856.99;6252212.89
62;BILLERE - Permanence SDSEI (CCAS);23;avenue de Lons; ;64140;BILLÈRE;64129;425449.55;6251776.95
63;BILLERE - Permanence SDSEI (Lacaou);41;avenue Lalanne; ;64140;BILLÈRE;64129;424968.4;6251605.19
64;BILLERE - Permanence SDSEI (Laffitte);1;allée Bernard Laffitte; ;64140;BILLÈRE;64129;425668.91;6252502.34
65;BILLERE - Permanence SDSEI (Verdun);2;avenue de Verdun; ;64140;BILLÈRE;64129;424958.4;6251007.11
80;CAMBO - Bergerie (Elhorriko Mendia); ;Elhorriko Mendia; ;64250;CAMBO-LES-BAINS;64160;342636.83;6260156.79
67;BIZANOS - ADAPEI Georgette Berthe (Larribau); ;Chemin Larribau; ;64320;BIZANOS;64132;429545.54;6250434.31
69;BIZANOS - Antenne SDSEI (Victoire);6;rue de la Victoire; ;64320;BIZANOS;64132;427580.28;6249119.62
70;BIZANOS - Collège des Lavandières (8 mai 1945);3;rue du 8 mai 1945; ;64320;BIZANOS;64132;428338.64;6249513.18
72;BOUCAU - Collège Henri Barbusse (Latappy); ;rue Séverin Latappy; ;64340;BOUCAU;64140;337314.82;6280228.66
74;BOUCAU - Gymnase du collège Barbusse (Lavignasse); ;passage Guy Lavignasse; ;64340;BOUCAU;64140;337068.25;6280202.42
75;BOUCAU - Permanence SDSEI (Saint-André);29;rue Joseph Saint André; ;64340;BOUCAU;64140;337168.36;6279724.32
76;BRISCOUS - Permanence SDSEI (Mairie); ;Chemin du village; ;64240;BRISCOUS;64147;349283.93;6271936.92
77;CAMBO - Antenne SDSEI (Mairie);16;avenue de la Mairie; ;64250;CAMBO-LES-BAINS;64160;343445.73;6261432.91
78;CAMBO - Antenne UTD (Harispe);3;rue Harispe; ;64250;CAMBO-LES-BAINS;64160;344743.53;6261331.29
79;CAMBO - BDP (Harispe);3;rue Harispe; ;64250;CAMBO-LES-BAINS;64160;344743.53;6261331.29
81;CAMBO - Collège Errobi (Assantza); ;Rue Assantza; ;64250;CAMBO-LES-BAINS;64160;342730.23;6261282.37
84;CIBOURE - Ateliers maritimes (Lavoir);17;avenue du Commandant Passicot; ;64500;CIBOURE;64189;320387.75;6266008.64
85;CIBOURE - Marégraphe (Passicot);53;avenue du Commandant Passicot; ;64500;CIBOURE;64189;320661.44;6266487.65
87;CIBOURE - Pêche (Errepira);19;avenue d'Errépira; ;64500;CIBOURE;64189;321950.03;6264693.57
88;CIBOURE - Pêche (Evêques);8;quai Pascal Elissalt; ;64500;CIBOURE;64189;321991.55;6265255.48
90;DENGUIN - Permanence SDSEI (Mairie); ;Place de la Mairie; ;64230;DENGUIN;64198;415378.37;6257683.04
91;EAUX-BONNES - Centre de déneigement (Gourette); ;Gourette Nord;RD 918;64440;EAUX-BONNES;64204;427957.33;6212446.68
92;EAUX-BONNES - Gare départ (Ley); ;Plateau du Bézou; ;64440;EAUX-BONNES;64204;427432.51;6212686.89
94;EAUX-BONNES - Résidence du Valentin (Gourette); ;Place du Sarrière; ;64440;EAUX-BONNES;64204;427911.63;6212216.16
95;EAUX-BONNES - Restaurant d'altitude (Gourette); ;Plateau du Bézou; ;64440;EAUX-BONNES;64204;427347.96;6211528.17
97;ESPOEY - Antenne UTD (Eglise); ;rue Philippe Bordes;Place de l'Eglise;64420;ESPOEY;64216;442733.44;6243281.92
98;GAN - Permanence SDSEI (Mairie); ;Place de la Mairie; ;64290;GAN;64230;424763.45;6242605.2
99;GARLIN - Antenne UTD (Landes du Bas);21;route d'Arzacq; ;64330;GARLIN;64233;434023.23;6278299.13
129;LAHONCE - Permanence SDSEI (Mairie);700;place Louis Laffargue; ;64990;LAHONCE;64304;345184.39;6275120.34
100;GARLIN - Collège Joseph Peyré (Ecoles); ;Place des Ecoles; ;64330;GARLIN;64233;435740.45;6279228.4
101;GARLIN - Permanence SDSEI (Bellevue); ;Boulevard Bellevue; ;64330;GARLIN;64233;435927.48;6279092.23
103;GELOS - Antenne UTD (Daure);11;rue Eugène Daure; ;64110;GÉLOS;64237;425984.38;6249087.75
104;GELOS - Dépôt (Maquis);35;avenue du Maquis; ;64110;GÉLOS;64237;426290.36;6248044
105;GELOS - Haras (Leclerc); ;Rue du Maréchal Leclerc; ;64110;GÉLOS;64237;426565.81;6248571.49
106;GELOS - Permanence SDSEI (Daure);49;rue Eugène Daure; ;64110;GÉLOS;64237;426313.69;6248733.03
107;GER - Permanence SDSEI (Mairie); ;Rue Gleysia; ;64530;GER;64238;452077.56;6244110.6
108;GUETHARY - Permanence SDSEI (Mairie); ;Avenue du Général de Gaulle; ;64210;GUÉTHARY;64249;326833.86;6269232.7
110;HASPARREN - Antenne SDSEI (Gaskoina);13;rue Gaskoina; ;64240;HASPARREN;64256;351033.53;6263484.86
111;HASPARREN - Antenne UTD (Arbéroue);30;route de l'Arbéroue; ;64240;HASPARREN;64256;351565.67;6263802.59
112;HASPARREN - BDP (Gaskoina);13;rue Gaskoina; ;64240;HASPARREN;64256;351033.53;6263484.86
113;HASPARREN - Collège Elhuyar (de Gaulle);3;avenue Charles de Gaulle; ;64240;HASPARREN;64256;350557.79;6263546.43
114;HENDAYE - Antenne SDSEI (Autoport); ;Rue de l'Autoport;Zi des joncaux;64700;HENDAYE;64260;313094.94;6261421.14
115;HENDAYE - Antenne SDSEI projet (Mermoz);10;rue Jean Mermoz; ;64700;HENDAYE;64260;314236.28;6263868.81
116;HENDAYE - Collège Irandatz (Bigarena);13;rue Bigarena; ;64700;HENDAYE;64260;312881.33;6261947.12
117;HENDAYE - Permanence SDSEI (Irandatz);4;rue d'Irandatz; ;64700;HENDAYE;64260;312935.04;6262186.26
118;HENDAYE - Permanence SDSEI (Jardins);9;rue des Jardins; ;64700;HENDAYE;64260;312937.33;6262807.27
119;IRISSARRY - CEP (Commanderie); ;La place;Ospitalia;64780;IRISSARRY;64273;356238.46;6248978.46
120;IZESTE - Antenne UTD (Ossau); ;Route d'Ossau; ;64260;IZESTE;64280;421298.92;6226390.74
121;JURANÇON - Antenne SDSEI (Gabard);6;place Pierre Gabard; ;64110;JURANÇON;64284;424860.36;6249211.52
123;LAAS - Domaine (Château); ;Chemin du Château; ;64390;LAÀS;64287;387945.47;6260882.34
124;LACOMMANDE - Commanderie (Brouquas); ;Chemin des Brouquas; ;64360;LACOMMANDE;64299;415090.79;6248306.67
126;LAGOR - Permanence SDSEI (Mairie);86;rue principale; ;64150;LAGOR;64301;404044.4;6261631.51
127;LAGUINGE-RESTOUE - Antenne UTD (RD 918); ;RD 918 Aztue; ;64470;LAGUINGUE-RESTOUE;64303;386336.46;6230205.48
130;LALONQUETTE - Antenne UTD (Eglise); ;Route de l'Eglise; ;64450;LALONQUETTE;64308;430916.19;6270751.8
131;LARRAU - Dépôt (Haritz Handia); ;Côte de Larrau;Haritz-Handia;64560;LARRAU;64316;377902.63;6221284.32
132;LARUNS - Antenne UTD (Arriussecq);9258;promenade de l'Arriussecq; ;64440;LARUNS;64320;420286.6;6215485.84
133;LARUNS - Centre de déneigement (Artouste); ;Quartier Artouste; ;64440;LARUNS;64320;421645.79;6204369.61
147;LESCAR - Permanence SDSEI (RD945); ;Route de Sault de Navailles; ;64230;LESCAR;64335;421396.12;6255974.69
134;LARUNS - Centre de déneigement (Pourtalet); ;Frontière A136; ;64440;LARUNS;64320;420134.21;6195627.66
136;LARUNS - Permanence SDSEI (Bialé);2;rue du Bialé; ;64440;LARUNS;64320;420316.35;6215968.91
137;LASSEUBE - Collège Pierre Jéliote (Bourdieu); ;Square Pierre Bourdieu; ;64290;LASSEUBE;64324;417731.25;6241995.69
138;LASSEUBE - Dépôt (RD24); ;Route d'Oloron;Dépôt Allègre;64290;LASSEUBE;64324;416319.19;6242060.16
139;LASSEUBE - Permanence SDSEI (Mairie); ;Rue de la République; ;64290;LASSEUBE;64324;417275.31;6242001.85
140;LEMBEYE - Antenne UTD (Gare);3;rue de la Gare; ;64350;LEMBEYE;64331;448291.65;6266233.09
141;LEMBEYE - Collège du Vic-Bilh (Ecoles);1;rue des Ecoles; ;64350;LEMBEYE;64331;448280.87;6266097.45
142;LEMBEYE - Permanence SDSEI (Almudévar); ;Rue d'Almudévar; ;64350;LEMBEYE;64331;448136.04;6266362.15
143;LEMBEYE - Permanence SDSEI (Mairie);37;place Marcadieu; ;64350;LEMBEYE;64331;448021.61;6266128.4
144;LESCAR - Antenne UTD (Thimonnier);3;rue Thimonnier; ;64230;LESCAR;64335;421555.77;6252223.46
145;LESCAR - Collège Simin Palay (Confesse); ;Chemin de Confesse; ;64230;LESCAR;64335;420975.32;6254535.33
146;LESCAR - Permanence SDSEI (Ravel);3;rue Maurice Ravel; ;64230;LESCAR;64335;423136.71;6253899.66
150;LONS - Futur parc routier (Rocade); ;Avenue de l'hippodrome; ;64140;LONS;64348;425558.6;6254920.2
151;LONS - Permanence SDSEI (Farman);3;boulevard des Frères Farman; ;64140;LONS;64348;424846.48;6254325.65
152;LONS - Permanence SDSEI (Larregain); ;Avenue Larregain; ;64140;LONS;64348;422134.55;6250846.66
153;LOUVIE-JUZON - Bergerie (La Plagne); ;Peyraou et Auga Gros; ;64260;LOUVIE-JUZON;64353;426787.4;6228570.24
154;MAULEON-LICHARRE - Ancienne MDD (Station);10;rue de la Station; ;64130;MAULÉON-LICHARRE;64371;383865.18;6243927.76
156;MAULEON-LICHARRE - Antenne UTD (Résistance); ;Place de la Résistance; ;64130;MAULÉON-LICHARRE;64371;384101.12;6244081.47
