Numéro de l'installation sportive;Nom de l'installation sportive;Numéro, type et nom de la voie;Code postal;Commune Ancienne;Code INSEE Ancien;Longitude (WGS84);Latitude (WGS84);Statut de la fiche d'enquête;Etat de la fiche d'enquête;Date de création de la fiche d'enquête;Date de changement d'état de la fiche d'enquête;Date de validation de la fiche d'enquête;Accessibilité de l'installation en faveur des personnes en situation de handicap;Date de l'enquête;Accessibilité de l'installation en transport en commun;Installation particulière;Type de particularité de l'installation;Accessibilité de l'installation en fonction du type handicap;Accessibilité de l'installation en transport en commun des différents mode;SIRET Installation;Unité Administrative Immatriculée (UAI) Installation;Numéro de l'équipement sportif;Nom de l'équipement sportif;Code du type d'équipement sportif;Type d'équipement sportif;Famille d'équipement sportif;Etat de la fiche d'enquête de l'équipement sportif;;;Eclairage de l'aire d'évolution;Equipement d'accès libre;Aménagements de confort;Arrêté d'ouverture au public;Locaux complémentaires;Ouverture exclusivement saisonnière;Présence de douches;Présence de sanitaires;Gestion en DSP;Accessibilité aux personnes à mobilité réduite à l'accueil;Accessibilité aux personnes à mobilité réduite à l'aire de jeu;Accessibilité aux personnes à mobilité réduite aux cheminements;Accessibilité aux personnes à mobilité réduite aux douches;Accessibilité aux personnes à mobilité réduite aux sanitaires;Accessibilité aux personnes à mobilité réduite aux tribunes;Accessibilité aux personnes à mobilité réduite aux vestiaires;Accessibilité aux personnes en situation de handicap sensoriel à l'aire de jeu;Accessibilité aux personnes en situation de handicap sensoriel aux cheminements;Accessibilité aux personnes en situation de handicap sensoriel aux sanitaires;Accessibilité aux personnes en situation de handicap sensoriel - signalétique;Accessibilité aux personnes en situation de handicap sensoriel aux tribunes;Accessibilité aux personnes en situation de handicap sensoriel aux vestiaires;Date de l'homologation préfectorale;Date des derniers gros travaux;Catégorie ERP de l'établissement;Hauteur de l'aire d'évolution;Largeur de l'aire d'évolution;Longueur de l'aire d'évolution;Surface de l'aire d'évolution;Nombre de couloirs/pistes/postes/jeux/pas;Nombre de places assises en tribune;Nombre de vestiaires arbitres/enseignants;Nombre de vestiaires sportifs;SAE: nombre de couloirs de la structure;SAE: hauteur maximale de la structure;SAE: surface totale de la structure;Longueur du bassin;Largeur du bassin;Surface du bassin;Profondeur minimale du bassin;Profondeur maximale du bassin;Longueur de la piste;Adresse internet de l'équipement;Année de mise en service;Nom du propriétaire;Types d'aménagements de confort;Type d'ERP de l'établissement;Types de locaux complémentaires;Motifs des derniers gros travaux;Types de chauffage - source d'énergie;Type d'utilisation;Type de pas de tir;Nature du sol;Nature de l'équipement sportif;Période de mise en service;Période de l'homologation préfectorale;Période des derniers gros travaux;Type de déclaration;Type de propriétaire;Type de propriétaire secondaire;Type de gestionnaire;Type du co-gestionnaire;Equipement inscrit au PDESI / PDIPR;code_aps;Atlas;Coordonnées;Commune INSEE;Commune Nom;EPCI INSEE;EPCI Nom;Département Code;Département Nom;Région Code;Région Nom;Département Code Complet;Réctorat Nom
I315550243;Complexe Sportif Daste;9 Rue de Toulon;31000;Toulouse;31555;1.43968;43.58062;True;Validé;38568;43559;43559;true;42745;true;true;Complexe sportif;"{""Handicap moteur""}";{Bus,Métro};;;E001I315550243;Gymnase Daste;1901;Salle multisports (gymnase);Salle multisports;validé;;;true;false;false;true;true;false;true;true;false;;true;;;false;;true;true;;false;;;true;;;4.0;5.0;12.0;21.0;252.0;;0.0;0.0;2.0;;;;;;;;;;;;;{};{X};"{""Local de rangement""}";{};{Gaz};Scolaires, universités,Autre - association(s) et groupes divers;{};Synthétique (hors gazon);Intérieur;1965-1974;;;;Commune;;Commune;;;"{""1101"",""2901"",""3701"",""8801""}";Salles de pratiques collectives;43.58062, 1.43968;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550245;Complexe Anatole France;21 Boulevard de la Méditerranée;31000;Toulouse;31555;1.46205;43.5848;True;Validé;38568;42711;42711;false;42609;false;false;;{};{Bus};;;E001I315550245;Gymnase Anatole France;1901;Salle multisports (gymnase);Salle multisports;validé;;;true;false;false;;true;false;false;true;false;;true;false;;false;;false;false;false;false;false;;false;;;;6.0;21.0;21.0;252.0;;0.0;0.0;2.0;;;;;;;;;;;;;{};{};"{""Local de rangement""}";{};{Gaz};Scolaires, universités;{};Synthétique (hors gazon);Intérieur;1965-1974;;;;Commune;;Commune;;;"{""1101"",""4301"",""8801""}";Salles de pratiques collectives;43.5848, 1.46205;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550251;Complexe sportif Marcel Cerdan;7 chemin de la Cépière;31000;Toulouse;31555;1.39841;43.58649;True;Validé;38568;42745;42745;true;42745;false;true;Complexe sportif;"{""Handicap moteur""}";{Bus};;;E001I315550251;Grande salle;1901;Salle multisports (gymnase);Salle multisports;validé;;;true;false;false;;true;false;true;true;false;;true;;;true;false;true;false;false;true;false;false;false;;2002;3.0;8.0;25.0;40.0;1 000.0;;175.0;0.0;4.0;;;;;;;;;;;;;{};{X};"{""Bureau(x) club(s)"",""Local de rangement""}";{};{Autre};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités,Autre - association(s) et groupes divers;{};Synthétique (hors gazon);Intérieur;1975-1984;;1995-2004;;Commune;;Commune;;;"{""701"",""1101"",""3701"",""7901"",""8801""}";Salles de pratiques collectives;43.58649, 1.39841;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550253;Complexe sportif de la Faourette;18 rue Paul LAMBERT;31000;Toulouse;31555;1.41564;43.57761;True;Validé;38568;42713;42713;true;42549;false;true;Complexe sportif;"{""Handicap moteur""}";{Métro,Bus};;;E003I315550253;Salle de Judo;1801;Dojo / Salle d'arts martiaux;Salle de combat;validé;;;true;false;false;;true;false;true;true;false;;true;;;true;;true;false;;true;;;false;;2004;3.0;3.0;15.0;15.0;225.0;;0.0;0.0;2.0;;;;;;;;;;;2004;;{};{X};"{""Local de rangement"",""Salle(s) de réunion/cours""}";{};{Gaz};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Synthétique (hors gazon);Intérieur;1995-2004;;1995-2004;;Commune;;Commune;;;"{""4301""}";Salles de pratiques collectives;43.57761, 1.41564;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550253;Complexe sportif de la Faourette;18 rue Paul LAMBERT;31000;Toulouse;31555;1.41541;43.57767;True;Validé;38568;42713;42713;true;42549;false;true;Complexe sportif;"{""Handicap moteur""}";{Métro,Bus};;;E005I315550253;Salle de Boxe;1802;Salle de boxe;Salle de combat;validé;;;true;false;false;;true;false;true;true;false;;true;;;true;;true;false;;true;;;false;;2004;3.0;3.0;16.0;16.0;256.0;;0.0;0.0;2.0;;;;;;;;;;;2004;;{};{X};"{""Local de rangement""}";{};{Gaz};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Synthétique (hors gazon);Intérieur;1995-2004;;1995-2004;;Commune;;Commune;;;"{""1401"",""6601"",""3101""}";Salles de pratiques collectives;43.57767, 1.41541;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550255;Complexe sportif du Mirail;6 rue Ferdinand Laulanie;31000;Toulouse;31555;1.40182;43.5816;True;Validé;38568;42716;42716;true;42611;false;true;Complexe sportif;"{""Handicap moteur""}";{Métro,Bus};;;E002I315550255;Grande salle du COSEC;1901;Salle multisports (gymnase);Salle multisports;validé;;;true;false;false;;true;false;true;true;false;;true;;;true;false;true;true;;true;;false;true;;2005;3.0;7.0;20.0;40.0;800.0;10.0;200.0;3.0;5.0;;;;;;;;;;;;;{};{X};"{""Bureau(x) club(s)"",""Local de rangement""}";{};{Autre};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Parquet;Intérieur;1965-1974;;A partir de 2005;;Commune;;Commune;;;"{""701"",""1101"",""1101"",""3701"",""7901"",""8001"",""8801""}";Salles de pratiques collectives;43.5816, 1.40182;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550255;Complexe sportif du Mirail;6 rue Ferdinand Laulanie;31000;Toulouse;31555;1.40187;43.58113;True;Validé;38568;42716;42716;true;42611;false;true;Complexe sportif;"{""Handicap moteur""}";{Métro,Bus};;;E004I315550255;Salle de boxe;1802;Salle de boxe;Salle de combat;validé;;;true;false;false;;true;false;true;true;false;;true;;;true;;true;true;;true;;;true;;;3.0;3.0;8.0;10.0;80.0;;0.0;1.0;4.0;;;;;;;;;;;1998;;{};{X};"{""Bureau(x) club(s)"",""Local de rangement""}";{};{Gaz};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Synthétique (hors gazon);Intérieur;1995-2004;;;;Commune;;Commune;;;"{""1401"",""6601"",""3101""}";Salles de pratiques collectives;43.58113, 1.40187;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550255;Complexe sportif du Mirail;6 rue Ferdinand Laulanie;31000;Toulouse;31555;1.40191;43.58118;True;Validé;38568;42716;42716;true;42611;false;true;Complexe sportif;"{""Handicap moteur""}";{Métro,Bus};;;E013I315550255;Mur d'escalade;2701;Structure Artificielle d'Escalade;Structure Artificielle d'Escalade;validé;;;true;false;false;;true;false;true;true;false;;false;;;false;;false;false;;false;;;false;;2005;3.0;;;10.0;100.0;6.0;0.0;1.0;4.0;6.0;10.0;100.0;;;;;;;;1998;;{};{X};"{""Bureau(x) club(s)"",""Local de rangement""}";{};{};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Synthétique (hors gazon);Intérieur;1995-2004;;A partir de 2005;;Commune;;Commune;;;"{""4802""}";Autres équipements;43.58118, 1.40191;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550257;Tennis Municipal des Ponts Jumeaux;32 rue des sports;31000;Toulouse;31555;1.41617;43.6132;True;Validé;38568;42759;42759;true;42759;false;false;;"{""Handicap moteur""}";{Bus};;;E004I315550257;Court de tennis couverts 3;501;Court de tennis;Court de tennis;validé;;;true;false;false;;true;false;true;true;false;false;false;false;false;false;;false;false;false;false;false;;false;;;5.0;8.0;18.0;36.0;648.0;;0.0;3.0;4.0;;;;;;;;;;http://www.mairie-toulouse.fr;;;{};{X};"{Reception/accueil,""Bureau(x) club(s)"",""Club(s) house"",""Local de rangement""}";{};{};Individuel(s), famille(s),Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Béton;Intérieur;1945-1964;;;;Commune;;Commune;;;"{""701"",""7901""}";Court de tennis;43.6132, 1.41617;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550260;Base de sport et loisir Sesquières;Allée des Foulques;31000;Toulouse;31555;1.41722;43.65582;True;Vérifié;38568;43385;42713;true;42549;false;true;Base de plein air et/ou de loisirs;"{""Handicap moteur""}";;;;E003I315550260;Tennis couverts;501;Court de tennis;Court de tennis;validé;;;true;false;false;;true;false;true;true;false;;true;true;;true;;true;false;false;true;false;;false;;;5.0;8.0;18.0;36.0;648.0;;0.0;0.0;4.0;;;;;;;;;;;;;{};{X};"{""Local de rangement""}";{};{};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Synthétique (hors gazon);Intérieur;1975-1984;;;;Commune;;Commune;Commune;;"{""701"",""7901""}";Court de tennis;43.65582, 1.41722;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550260;Base de sport et loisir Sesquières;Allée des Foulques;31000;Toulouse;31555;1.41722;43.65582;True;Vérifié;38568;43385;42713;true;42549;false;true;Base de plein air et/ou de loisirs;"{""Handicap moteur""}";;;;E013I315550260;Tennis couverts 2;501;Court de tennis;Court de tennis;validé;;;true;false;false;;true;false;true;true;false;;true;true;;true;;true;false;false;true;false;;false;;;5.0;8.0;18.0;36.0;648.0;;0.0;0.0;4.0;;;;;;;;;;;;;{};{X};"{""Local de rangement""}";{};{};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Synthétique (hors gazon);Intérieur;1975-1984;;;;Commune;;Commune;Commune;;"{""701"",""7901""}";Court de tennis;43.65582, 1.41722;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550261;Gymnase Lalande;44 chemin du Séminaire;31000;Toulouse;31555;1.43529;43.64081;True;Validé;38568;42713;42713;true;42555;false;true;Complexe sportif;"{""Handicap moteur""}";{Bus};;;E001I315550261;Gymnase;1901;Salle multisports (gymnase);Salle multisports;validé;;;true;false;false;;true;false;true;true;false;;true;true;true;true;;;false;false;true;false;;false;;2001;4.0;8.0;21.0;41.0;863.0;;0.0;1.0;2.0;;;;;;;;;;http://www.mairie-toulouse.fr;1973;;{};{X};"{""Bureau(x) club(s)"",""Local de rangement""}";{};{Electricité};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Synthétique (hors gazon);Intérieur;1965-1974;;1995-2004;;Commune;;Commune;;;"{""701"",""1101"",""2901"",""3701"",""8801""}";Salles de pratiques collectives;43.64081, 1.43529;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550262;Gymnase Bayard;150 Route de Launaguet;31000;Toulouse;31555;1.43951;43.64023;True;Validé;38568;42711;42711;true;42615;false;false;;"{""Handicap moteur""}";{Bus};;;E001I315550262;Gymnase Bayard;1901;Salle multisports (gymnase);Salle multisports;validé;;;true;false;false;;true;false;true;true;false;;true;;;true;;true;false;;true;;;false;;2005;3.0;7.0;20.0;30.0;600.0;;0.0;0.0;2.0;;;;;;;;;;http://www.mairie-toulouse.fr;1970;;{};{R};"{""Bureau(x) club(s)"",""Local de rangement""}";{};{Gaz};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Synthétique (hors gazon);Intérieur;1965-1974;;A partir de 2005;;Commune;;Commune;;;"{""701"",""1101"",""3701"",""7901"",""8801""}";Salles de pratiques collectives;43.64023, 1.43951;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550264;Gymnase Fabre;466 avenue de la Garonnette;31000;Toulouse;31555;1.44124;43.59806;True;Validé;38568;42712;42712;false;42614;false;false;;{};{Métro,Bus};;;E002I315550264;Salle de Cardiotrainning;802;Salle de musculation/cardiotraining;Equipement d'activités de forme et de santé;validé;;;true;false;false;true;true;false;true;true;false;;true;;;true;;true;false;;true;;;false;;2009;5.0;4.0;5.0;7.0;29.0;;0.0;0.0;2.0;;;;;;;;;;;;Mairie;{};{X};"{""Bureau(x) club(s)"",""Local de rangement""}";"{""Inadaptation aux attentes des usagers""}";{Gaz};Clubs sportifs, comités, ligues, fédérations,Autre - association(s) et groupes divers;{};Synthétique (hors gazon);Intérieur;1965-1974;;A partir de 2005;;Commune;;Commune;;;"{""8901"",""3602""}";Salles de pratiques collectives;43.59806, 1.44124;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550267;Gymnase Saint Sernin;1 place Saint Sernin;31000;Toulouse;31555;1.44063;43.608;True;Validé;38568;42713;42713;false;42613;false;false;;{};{Métro,Bus};;;E001I315550267;Salle multisports;1901;Salle multisports (gymnase);Salle multisports;validé;;;true;false;false;;false;false;true;true;false;;false;;;false;;false;false;;false;;;false;;;5.0;6.0;9.0;13.0;154.0;;0.0;2.0;4.0;;;;;;;;;;;;;{};{X};{};{};{Gaz};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Synthétique (hors gazon);Intérieur;1965-1974;;;;Commune;;Commune;;;"{""8001"",""8801""}";Salles de pratiques collectives;43.608, 1.44063;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550267;Gymnase Saint Sernin;1 place Saint Sernin;31000;Toulouse;31555;1.44064;43.60801;True;Validé;38568;42713;42713;false;42613;false;false;;{};{Métro,Bus};;;E007I315550267;Salle de danse (RDC);2105;Salle de danse;Salle ou terrain spécialisé;validé;;;true;false;false;;false;false;true;true;false;;false;;false;false;;false;false;;false;;;false;;;5.0;4.0;9.0;15.0;131.0;;0.0;2.0;4.0;;;;;;;;;;;;;{};{X};{};{};{Gaz};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Synthétique (hors gazon);Intérieur;1965-1974;;;;Commune;;Commune;;;"{""2402""}";Salles de pratiques collectives;43.60801, 1.44064;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550267;Gymnase Saint Sernin;1 place Saint Sernin;31000;Toulouse;31555;1.44062;43.608;True;Validé;38568;42713;42713;false;42613;false;false;;{};{Métro,Bus};;;E008I315550267;Salle de combat (1er étage);1801;Dojo / Salle d'arts martiaux;Salle de combat;validé;;;true;false;false;;true;false;true;true;false;;false;;false;false;;false;false;;false;;;false;;;5.0;4.0;8.0;12.0;80.0;;0.0;2.0;4.0;;;;;;;;;;;;;{};{X};"{""Local de rangement""}";{};{Gaz};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Synthétique (hors gazon);Intérieur;1965-1974;;;;Commune;;Commune;;;"{""4301"",""4401""}";Salles de pratiques collectives;43.608, 1.44062;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550267;Gymnase Saint Sernin;1 place Saint Sernin;31000;Toulouse;31555;1.44018;43.60768;True;Validé;38568;42713;42713;false;42613;false;false;;{};{Métro,Bus};;;E010I315550267;Grande Salle multisports;1901;Salle multisports (gymnase);Salle multisports;validé;;;true;false;false;;true;false;true;true;false;;false;;false;false;;false;false;;false;;;false;;;5.0;7.0;30.0;40.0;1 119.0;;0.0;2.0;4.0;;;;;;;;;;;;;{};{X};"{""Local de rangement""}";{};{Gaz};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Synthétique (hors gazon);Intérieur;1965-1974;;;;Commune;;Commune;;;"{""1101"",""3701"",""7901"",""8801""}";Salles de pratiques collectives;43.60768, 1.44018;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550274;Gymnase LAPUJADE;26 route d'ALBI;31000;Toulouse;31555;1.4605;43.62817;True;Validé;38568;42711;42711;true;42556;false;false;;"{""Handicap moteur""}";{Bus};;;E001I315550274;Gymnase LAPUJADE;1901;Salle multisports (gymnase);Salle multisports;validé;;;true;false;false;;true;false;true;true;false;;true;true;false;false;;false;false;false;false;false;;false;;2003;4.0;6.0;12.0;21.0;231.0;;0.0;0.0;1.0;;;;;;;;;;http://www.mairie-toulouse.fr;;;{};{R};"{""Bureau(x) club(s)"",""Local de rangement""}";{};{Gaz};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Parquet;Intérieur;1945-1964;;1995-2004;;Commune;;Commune;;;"{""1101"",""3401"",""4301"",""8801""}";Salles de pratiques collectives;43.62817, 1.4605;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550287;Maison du Basket;36 avenue de l'hers;31000;Toulouse;31555;1.48064;43.61382;True;Validé;38568;45204;45204;true;42675;false;false;;"{""Handicap moteur""}";;;;E001I315550287;Terrain de Basket;2101;Salle de basket;Salle ou terrain spécialisé;validé;;;true;false;false;;true;false;true;true;false;;true;true;;true;false;true;false;;true;;false;false;;;5.0;7.0;14.0;26.0;364.0;;130.0;1.0;2.0;;;;;;;;;;;1997;Comité Regional de Basket-Ball;{};{X};"{""Bureau(x) club(s)"",Infirmierie,""Local de rangement"",""Salle(s) de réunion/cours""}";{};{Gaz};Clubs sportifs, comités, ligues, fédérations;{};Parquet;Intérieur;1995-2004;;;;Association(s);;Association(s);;;"{""1101""}";Salles de pratiques collectives;43.61382, 1.48064;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550294;Base de loisirs des Argoulets;Chemin cassaing;31000;Toulouse;31555;1.47894;43.6229;True;Validé;38568;42769;42769;true;42513;false;true;Complexe sportif;"{""Handicap moteur""}";{Métro,Bus};;;E003I315550294;Tennis couverts;501;Court de tennis;Court de tennis;validé;;;true;false;false;;true;false;true;true;false;;true;true;;true;;true;false;false;true;false;;false;;;4.0;8.0;18.0;36.0;648.0;;0.0;0.0;2.0;;;;;;;;;;http://www.mairie-toulouse.fr;;;{};{X};"{""Local de rangement""}";{};{};Individuel(s), famille(s),Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Béton;Intérieur;1975-1984;;;;Commune;;Commune;;;"{""701"",""701"",""7901""}";Court de tennis;43.6229, 1.47894;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550294;Base de loisirs des Argoulets;Chemin cassaing;31000;Toulouse;31555;1.48009;43.61696;True;Validé;38568;42769;42769;true;42513;false;true;Complexe sportif;"{""Handicap moteur""}";{Métro,Bus};;;E005I315550294;Pelote basque - Trinquet intérieur;1104;Trinquet;Mur et fronton;validé;;;true;false;false;;true;false;true;true;false;true;true;true;true;true;false;true;false;false;true;false;false;false;;;3.0;13.0;7.0;28.0;196.0;;130.0;0.0;2.0;;;;;;;;;;http://www.mairie-toulouse.fr;1981;;{};{X};"{Reception/accueil,""Bureau(x) club(s)"",Infirmierie,""Local de rangement"",""Salle(s) de réunion/cours""}";{};{Gaz};Individuel(s), famille(s),Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Béton;Intérieur;1975-1984;;;;Commune;;Commune;;;"{""5901""}";Autres équipements;43.61696, 1.48009;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550294;Base de loisirs des Argoulets;Chemin cassaing;31000;Toulouse;31555;1.48032;43.61697;True;Validé;38568;42769;42769;true;42513;false;true;Complexe sportif;"{""Handicap moteur""}";{Métro,Bus};;;E006I315550294;Pelote basque - mur à gauche n°1;1102;Mur à gauche;Mur et fronton;validé;;;true;false;false;;true;false;true;true;false;true;true;true;true;true;false;true;false;false;true;false;false;false;;;3.0;13.0;16.0;36.0;576.0;;212.0;0.0;2.0;;;;;;;;;;http://www.mairie-toulouse.fr;1981;;{};{X};"{Reception/accueil,""Bureau(x) club(s)"",Infirmierie,""Local de rangement"",""Salle(s) de réunion/cours""}";{};{Gaz};Individuel(s), famille(s),Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;{};Synthétique (hors gazon);Intérieur;1975-1984;;;;Commune;;Commune;;;"{""5901""}";Autres équipements;43.61697, 1.48032;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550303;Complexe sportif Arnauné;107 avenue Frédéric ESTEBE;31000;Toulouse;31555;1.43652;43.62459;True;Validé;38568;42713;42713;true;42608;false;true;Complexe sportif;"{""Handicap moteur""}";{Métro,Bus};;;E004I315550303;Gymnase - Grande salle;1901;Salle multisports (gymnase);Salle multisports;validé;;;true;false;false;;true;false;true;true;false;;true;true;;true;false;true;false;false;true;false;false;false;;2001;3.0;9.0;26.0;44.0;1 052.0;;188.0;0.0;2.0;;;;;;;;;;http://www.mairie-toulouse.fr;2001;;{};{X};"{""Local de rangement""}";"{""Vétusté normale""}";{Gaz};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités,Autre - association(s) et groupes divers;{};Synthétique (hors gazon);Intérieur;1995-2004;;1995-2004;;Commune;;Commune;;;"{""701"",""1101"",""1101"",""2901"",""3701"",""8801""}";Salles de pratiques collectives;43.62459, 1.43652;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550306;Association sportive du Centre National d'Etudes Spatiales;7 rue des Satellites;31000;Toulouse;31555;1.48792;43.55629;True;Validé;38568;42760;42760;true;42760;false;true;Complexe sportif;"{""Handicap moteur""}";{Métro};;;E004I315550306;Mur à gauche;1102;Mur à gauche;Mur et fronton;validé;;;true;false;false;;true;false;true;true;false;;false;false;false;false;;false;false;false;false;false;;false;;;3.0;11.0;14.0;35.0;490.0;;0.0;1.0;2.0;;;;;;;;;;;1994;CNES;{};{X};"{""Club(s) house"",Infirmierie,""Local de rangement""}";{};{Electricité};Autre - association(s) et groupes divers;{};Béton;Intérieur;1985-1994;;;;Etablissement Public;;Association(s);;;"{""5901""}";Autres équipements;43.55629, 1.48792;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550306;Association sportive du Centre National d'Etudes Spatiales;7 rue des Satellites;31000;Toulouse;31555;1.48808;43.55644;True;Validé;38568;42760;42760;true;42760;false;true;Complexe sportif;"{""Handicap moteur""}";{Métro};;;E005I315550306;Mur d'escalade;2701;Structure Artificielle d'Escalade;Structure Artificielle d'Escalade;validé;;;true;false;false;;true;false;true;true;false;;false;false;false;false;;false;false;false;false;false;;false;;2013;3.0;11.0;11.0;15.0;165.0;;0.0;1.0;2.0;6.0;11.0;165.0;;;;;;;;1994;CNES;{};{X};"{""Club(s) house"",Infirmierie,""Local de rangement"",""Salle(s) de réunion/cours""}";"{""Inadaptation aux attentes des usagers""}";{Electricité};Autre - association(s) et groupes divers;{};Synthétique (hors gazon);Intérieur;1985-1994;;A partir de 2005;;Etablissement Public;;Association(s);;;"{""4802""}";Autres équipements;43.55644, 1.48808;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550306;Association sportive du Centre National d'Etudes Spatiales;7 rue des Satellites;31000;Toulouse;31555;1.48808;43.55645;True;Validé;38568;42760;42760;true;42760;false;true;Complexe sportif;"{""Handicap moteur""}";{Métro};;;E006I315550306;Grande salle;1901;Salle multisports (gymnase);Salle multisports;validé;;;true;false;false;;true;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;3.0;11.0;20.0;40.0;800.0;;200.0;1.0;2.0;;;;;;;;;;;1994;CNES;{};{X};"{Reception/accueil,""Club(s) house"",""Local de rangement"",""Salle(s) de réunion/cours""}";{};{Electricité};Autre - association(s) et groupes divers;{};Synthétique (hors gazon);Intérieur;1985-1994;;;;Etablissement privé commercial;;Association(s);;;"{""701"",""1101"",""2901"",""3701"",""7901"",""8801""}";Salles de pratiques collectives;43.55645, 1.48808;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I315550308;Movida Club Arcole;8 boulevard d'Arcole;31000;Toulouse;31555;1.44222;43.61106;True;Validé;38568;42758;42758;true;42551;false;false;;"{""Handicap moteur""}";{Métro,Bus};;;E001I315550308;Bassin d'aquafitness;803;Bassin d'exercices aquatiques;Equipement d'activités de forme et de santé;validé;;;true;false;true;;true;false;true;true;false;true;false;true;;false;;false;false;false;false;false;;false;;;5.0;;;;;;0.0;0.0;2.0;;;;10.0;4.0;42.0;1.3;1.3;;;2001;;{Sauna};{X};"{Reception/accueil,""Local de rangement"",""Salle(s) de réunion/cours""}";{};{Gaz};Individuel(s), famille(s);{};Synthétique (hors gazon);Intérieur;1995-2004;;;;Etablissement privé commercial;;Etablissement privé commercial;;;"{""8901"",""5208""}";Autres bassins aquatiques;43.61106, 1.44222;31555;Toulouse;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
