Numéro de l'installation sportive;Nom de l'installation sportive;Numéro, type et nom de la voie;Code postal;Commune Ancienne;Code INSEE Ancien;Longitude (WGS84);Latitude (WGS84);Statut de la fiche d'enquête;Etat de la fiche d'enquête;Date de création de la fiche d'enquête;Date de changement d'état de la fiche d'enquête;Date de validation de la fiche d'enquête;Accessibilité de l'installation en faveur des personnes en situation de handicap;Date de l'enquête;Accessibilité de l'installation en transport en commun;Installation particulière;Type de particularité de l'installation;Accessibilité de l'installation en fonction du type handicap;Accessibilité de l'installation en transport en commun des différents mode;SIRET Installation;Unité Administrative Immatriculée (UAI) Installation;Numéro de l'équipement sportif;Nom de l'équipement sportif;Code du type d'équipement sportif;Type d'équipement sportif;Famille d'équipement sportif;Etat de la fiche d'enquête de l'équipement sportif;;;Eclairage de l'aire d'évolution;Equipement d'accès libre;Aménagements de confort;Arrêté d'ouverture au public;Locaux complémentaires;Ouverture exclusivement saisonnière;Présence de douches;Présence de sanitaires;Gestion en DSP;Accessibilité aux personnes à mobilité réduite à l'accueil;Accessibilité aux personnes à mobilité réduite à l'aire de jeu;Accessibilité aux personnes à mobilité réduite aux cheminements;Accessibilité aux personnes à mobilité réduite aux douches;Accessibilité aux personnes à mobilité réduite aux sanitaires;Accessibilité aux personnes à mobilité réduite aux tribunes;Accessibilité aux personnes à mobilité réduite aux vestiaires;Accessibilité aux personnes en situation de handicap sensoriel à l'aire de jeu;Accessibilité aux personnes en situation de handicap sensoriel aux cheminements;Accessibilité aux personnes en situation de handicap sensoriel aux sanitaires;Accessibilité aux personnes en situation de handicap sensoriel - signalétique;Accessibilité aux personnes en situation de handicap sensoriel aux tribunes;Accessibilité aux personnes en situation de handicap sensoriel aux vestiaires;Date de l'homologation préfectorale;Date des derniers gros travaux;Catégorie ERP de l'établissement;Hauteur de l'aire d'évolution;Largeur de l'aire d'évolution;Longueur de l'aire d'évolution;Surface de l'aire d'évolution;Nombre de couloirs/pistes/postes/jeux/pas;Nombre de places assises en tribune;Nombre de vestiaires arbitres/enseignants;Nombre de vestiaires sportifs;SAE: nombre de couloirs de la structure;SAE: hauteur maximale de la structure;SAE: surface totale de la structure;Longueur du bassin;Largeur du bassin;Surface du bassin;Profondeur minimale du bassin;Profondeur maximale du bassin;Longueur de la piste;Adresse internet de l'équipement;Année de mise en service;Nom du propriétaire;Types d'aménagements de confort;Type d'ERP de l'établissement;Types de locaux complémentaires;Motifs des derniers gros travaux;Types de chauffage - source d'énergie;Type d'utilisation;Type de pas de tir;Nature du sol;Nature de l'équipement sportif;Période de mise en service;Période de l'homologation préfectorale;Période des derniers gros travaux;Type de déclaration;Type de propriétaire;Type de propriétaire secondaire;Type de gestionnaire;Type du co-gestionnaire;Equipement inscrit au PDESI / PDIPR;code_aps;Atlas;Coordonnées;Commune INSEE;Commune Nom;EPCI INSEE;EPCI Nom;Département Code;Département Nom;Région Code;Région Nom;Département Code Complet;Réctorat Nom
I314180002;Salle des fêtes;mairie;31130;Pin-Balma;31418;1.53283;43.62831;True;Vérifié;38568;43749;41949;false;41944;false;false;;;;;;E001I314180002;Salle des fêtes;2201;Salles polyvalentes / des fêtes / non spécialisées;Salle non spécialisée;validé;;;true;false;false;true;false;false;false;true;false;;false;false;;false;;;false;false;false;false;;;;;;5.0;8.0;10.0;80.0;;0.0;0.0;0.0;;;;;;;;;;;1993;;{};{};{};{};{Electricité};Autre - association(s) et groupes divers;{};Carrelage;Intérieur;1985-1994;;;;Commune;;Commune;;;"{""3501""}";Salles de pratiques collectives;43.62831, 1.53283;31418;Pin-Balma;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I314450002;COMPLEXE PATRICK PEPI;Rue des Coteaux;31130;Quint-Fonsegrives;31445;1.53252;43.58573;True;Validé;38568;44014;44014;false;44014;false;false;;;{Bus};;;E003I314450002;Salle d'expression corporelle;2105;Salle de danse;Salle ou terrain spécialisé;validé;;;true;false;false;;true;false;false;true;;;false;;;false;;false;false;;false;;;false;;;2.0;4.0;7.3;15.0;110.0;0.0;0.0;0.0;1.0;;;;;;;;;;;1986;;;{L,X};"{""Local de rangement""}";;{Gaz};Scolaires, universités,Autre - association(s) et groupes divers;;Parquet;Intérieur;1985-1994;;;;Commune;;Commune;;;"{""2402"",""7801""}";Salles de pratiques collectives;43.58573, 1.53252;31445;Quint-Fonsegrives;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I314450008;Gymnase Pierre Izard;Rue Saint Germain;31130;Quint-Fonsegrives;31445;1.54014;43.58033;True;Validé;40800;44014;44014;true;02.07.20;true;false;;"{""Handicap moteur""}";{Bus};;;E001I314450008;GYMNASE;1901;Salle multisports (gymnase);Salle multisports;validé;;;true;false;false;;true;false;true;true;false;;true;;true;true;true;true;false;;;;false;false;;2015;3.0;9.0;27.0;44.0;1 188.0;;147.0;2.0;4.0;;;;;;;;;;;2007;;;{X};"{""Bureau(x) club(s)"",Infirmierie,""Local de rangement"",""Salle(s) de réunion/cours""}";"{""Dégats liés à des dégradations ou à une catastrophe naturelle ou industrielle""}";{Electricité};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités,Autre - association(s) et groupes divers;;Synthétique (hors gazon);Intérieur;A partir de 2005;;A partir de 2005;;Commune;;Commune;;;"{""1101"",""2901"",""3701"",""8001"",""8801""}";Salles de pratiques collectives;43.58033, 1.54014;31445;Quint-Fonsegrives;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I314450008;Gymnase Pierre Izard;Rue Saint Germain;31130;Quint-Fonsegrives;31445;1.53981;43.58036;True;Validé;40800;44014;44014;true;02.07.20;true;false;;"{""Handicap moteur""}";{Bus};;;E002I314450008;SALLE D ACTIVITES;2201;Salles polyvalentes / des fêtes / non spécialisées;Salle non spécialisée;validé;;;true;false;false;;true;false;false;true;;;false;;;false;;;false;;false;;;;;;3.0;5.0;6.0;23.0;138.0;;0.0;0.0;0.0;;;;;;;;;;;2007;;;{X};"{""Bureau(x) club(s)"",""Local de rangement"",""Salle(s) de réunion/cours""}";;{Electricité};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités,Autre - association(s) et groupes divers;;Carrelage;Intérieur;A partir de 2005;;;;Commune;;Commune;;;"{""2402"",""3501""}";Salles de pratiques collectives;43.58036, 1.53981;31445;Quint-Fonsegrives;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I314670007;BASIC FIT SAINT-ALBAN;24 RUE DES BATTANTS;31140;Saint-Alban;31467;1.40184;43.69524;True;Validé;42866;44011;44011;true;29.06.20;false;false;;"{""Handicap moteur""}";;;;E001I314670007;Salle de Musculation - Basic Fit;802;Salle de musculation/cardiotraining;Equipement d'activités de forme et de santé;validé;;;true;false;false;;true;false;true;true;false;true;true;true;true;true;;true;false;false;true;false;;false;;;;;;;;;0.0;0.0;2.0;;;;;;;;;;;2017;;;{};{Reception/accueil};;{Electricité};Individuel(s), famille(s);;Béton;Intérieur;A partir de 2005;;;;Etablissement privé commercial;;Etablissement privé commercial;;;"{""8901""}";Salles de pratiques collectives;43.69524, 1.40184;31467;Saint-Alban;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I314880001;DOJO CLAIR-MATIN;RUE RIMBAUD;31240;Saint-Jean;31488;1.50192;43.66495;True;Validé;38568;44041;44041;false;29.07.20;false;false;;;;;;E003I314880001;Salle polyvalente d'arts martiaux 2;1801;Dojo / Salle d'arts martiaux;Salle de combat;validé;;;true;false;false;;true;false;true;true;false;;false;false;false;false;;false;false;false;false;false;;false;;;5.0;3.0;5.0;7.0;35.0;0.0;0.0;0.0;2.0;;;;;;;;;;;1975;;;{};"{""Bureau(x) club(s)""}";;{Gaz};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;;Parquet;Intérieur;1975-1984;;;;Commune;;Commune;;;"{""4401"",""7701""}";Salles de pratiques collectives;43.66495, 1.50192;31488;Saint-Jean;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I314880003;Espace RENE CASSIN;ROUTE DE MONTRABE;31240;Saint-Jean;31488;1.51224;43.66263;True;Validé;38568;44041;44041;true;29.07.20;false;true;Complexe sportif;"{""Handicap moteur""}";;;;E006I314880003;SALLE D'AGRES HENRI DUNAND;2106;Salle de gymnastique sportive;Salle ou terrain spécialisé;validé;;;true;false;false;;true;false;true;true;false;;true;true;true;true;;true;false;false;false;false;;false;;1990;;7.0;15.0;38.0;570.0;0.0;0.0;0.0;4.0;;;;;;;;;;;1990;;;{};"{""Local de rangement"",""Club(s) house""}";"{""Mise en conformité avec les règlements""}";{Gaz};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités,Autre - association(s) et groupes divers;;Béton;Intérieur;1985-1994;;1985-1994;;Commune;;Commune;;;"{""3408""}";Salles de pratiques collectives;43.66263, 1.51224;31488;Saint-Jean;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I314880005;Espace Alex Jany;CHEMIN DE BELBEZE;31240;Saint-Jean;31488;1.50509;43.66249;True;Validé;38568;44041;44041;true;29.07.20;true;true;Complexe sportif;"{""Handicap moteur""}";{Bus};;;E003I314880005;GYMNASE BELBEZE;1901;Salle multisports (gymnase);Salle multisports;validé;;;true;false;false;;true;false;true;true;false;;true;true;true;true;true;true;false;false;false;false;false;false;;2020;;9.0;20.0;40.0;800.0;0.0;100.0;1.0;3.0;;;;;;;;;;;1977;;;{};"{""Bureau(x) club(s)"",""Club(s) house"",""Local de rangement""}";"{""Mise en conformité avec les règlements"",""Vétusté normale""}";;Clubs sportifs, comités, ligues, fédérations,Scolaires, universités;;Synthétique (hors gazon);Intérieur;1975-1984;;1995-2004;;Commune;;Commune;;;"{""701"",""1101"",""3701""}";Salles de pratiques collectives;43.66249, 1.50509;31488;Saint-Jean;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I314900002;Complexe Sportif Gymanse Segusino;Avenue de Segusino;31790;Saint-Jory;31490;1.37499;43.74652;True;Validé;38568;44004;44004;true;22.06.20;true;true;Complexe sportif;"{""Handicap moteur"",""Handicap sensoriel""}";{Bus};;;E001I314900002;Salle multisports;1901;Salle multisports (gymnase);Salle multisports;validé;;;true;false;false;;true;false;true;true;;;true;;;true;false;true;true;;true;;false;false;;;2.0;8.0;27.0;45.0;1 215.0;;253.0;2.0;4.0;;;;;;;;;;;1995;;;{L,X};"{""Bureau(x) club(s)"",Buvette,Infirmierie,""Local de rangement"",""Salle(s) de réunion/cours""}";;;Clubs sportifs, comités, ligues, fédérations,Scolaires, universités,Autre - association(s) et groupes divers;;Synthétique (hors gazon);Intérieur;1995-2004;;;;Commune;;Commune;;;"{""1101"",""3701"",""7901""}";Salles de pratiques collectives;43.74652, 1.37499;31490;Saint-Jory;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I314900002;Complexe Sportif Gymanse Segusino;Avenue de Segusino;31790;Saint-Jory;31490;1.37499;43.74652;True;Validé;38568;44004;44004;true;22.06.20;true;true;Complexe sportif;"{""Handicap moteur"",""Handicap sensoriel""}";{Bus};;;E002I314900002;Salle de danse et gym;2201;Salles polyvalentes / des fêtes / non spécialisées;Salle non spécialisée;validé;;;true;false;false;false;true;false;true;true;false;;true;;;true;;true;true;;true;;;false;;;2.0;3.0;8.0;13.0;104.0;;0.0;0.0;1.0;;;;;;;;;;;1995;;;{L,X};"{""Local de rangement""}";;{Gaz};Autre - association(s) et groupes divers;;Parquet;Intérieur;1995-2004;;;;Commune;;Commune;;;"{""2402"",""3501""}";Salles de pratiques collectives;43.74652, 1.37499;31490;Saint-Jory;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
I314900002;Complexe Sportif Gymanse Segusino;Avenue de Segusino;31790;Saint-Jory;31490;1.37499;43.74652;True;Validé;38568;44004;44004;true;22.06.20;true;true;Complexe sportif;"{""Handicap moteur"",""Handicap sensoriel""}";{Bus};;;E003I314900002;Salle judo et Karaté;1801;Dojo / Salle d'arts martiaux;Salle de combat;validé;;;true;false;false;;false;false;true;true;;;true;;;false;;false;true;;false;;;false;;;2.0;3.0;13.0;15.0;195.0;;0.0;1.0;2.0;;;;;;;;;;;1995;;;{L,X};;;{Gaz};Clubs sportifs, comités, ligues, fédérations,Scolaires, universités,Autre - association(s) et groupes divers;;Synthétique (hors gazon);Intérieur;1995-2004;;;;Commune;;Commune;;;"{""4301"",""4401""}";Salles de pratiques collectives;43.74652, 1.37499;31490;Saint-Jory;243100518;Toulouse Métropole;31;Haute-Garonne;76;Occitanie;31;Académie de Toulouse
